"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"GALNT16"	7.95962015267032e-99	0.554771680799108	0.251	0.053	1.86064080688821e-94	"2"	"GALNT16"
"A2M"	6.55280218241381e-98	0.684244188930791	0.87	0.656	1.53178303816105e-93	"2"	"A2M"
"TYMP"	9.19742309221245e-98	-0.771177502259244	0.313	0.729	2.14998962203558e-93	"2"	"TYMP"
"PLAU"	1.63303169150176e-97	-1.11454081626887	0.167	0.557	3.81737488205451e-93	"2"	"PLAU"
"OLFML2B"	6.88327901765455e-97	-0.842663732509965	0.054	0.421	1.60903530316693e-92	"2"	"OLFML2B"
"SCN7A"	7.86545598413255e-97	0.890783935948281	0.472	0.195	1.83862899085082e-92	"2"	"SCN7A"
"SH3BGRL3"	1.50519198524333e-96	-0.699312012612682	0.615	0.906	3.51853678470481e-92	"2"	"SH3BGRL3"
"CXCR4"	4.64086503054619e-96	-0.746767094966423	0.059	0.427	1.08484860954048e-91	"2"	"CXCR4"
"CALR"	1.14743522712529e-95	-0.67077765839804	0.65	0.905	2.68224458692807e-91	"2"	"CALR"
"S100A10"	1.4621231107305e-95	-0.820413764178367	0.822	0.95	3.41785898364362e-91	"2"	"S100A10"
"RPS7"	3.60539712938075e-95	0.522818035797005	0.988	0.992	8.42797632964044e-91	"2"	"RPS7"
"MYH9"	1.34737198265945e-94	-0.80648261615166	0.467	0.828	3.14961674666472e-90	"2"	"MYH9"
"GLUL"	9.55853204053819e-94	0.928388299536405	0.862	0.758	2.23440244979621e-89	"2"	"GLUL"
"SLC16A3"	2.2825708955266e-93	-0.719055517637959	0.02	0.362	5.33573772538298e-89	"2"	"SLC16A3"
"SELENBP1"	1.33114746919143e-92	0.902035512688877	0.468	0.222	3.11169032398189e-88	"2"	"SELENBP1"
"PPAP2B"	1.85879882240237e-92	1.08566052901869	0.682	0.477	4.34512812724777e-88	"2"	"PPAP2B"
"CD52"	3.88216097236325e-92	-0.679176447276245	0.066	0.432	9.07493948899634e-88	"2"	"CD52"
"ENO1"	5.26278929818945e-92	-0.854937475344076	0.538	0.847	1.23022962634477e-87	"2"	"ENO1"
"ZBTB16"	1.12017663269837e-91	0.837554865221745	0.537	0.276	2.61852489659572e-87	"2"	"ZBTB16"
"CLDN10"	1.14451906014147e-91	0.844057921308975	0.382	0.143	2.6754277549867e-87	"2"	"CLDN10"
"MDK"	1.4735158977765e-91	-0.79656296945182	0.57	0.871	3.44449076264235e-87	"2"	"MDK"
"HLA-A"	2.29246497653123e-91	-0.576197516583449	0.947	0.994	5.3588661291394e-87	"2"	"HLA-A"
"EPSTI1"	3.3611512306604e-91	-0.651965791988068	0.118	0.499	7.85702711679175e-87	"2"	"EPSTI1"
"SAMHD1"	3.62039210337714e-91	0.874960134400299	0.534	0.277	8.4630285808544e-87	"2"	"SAMHD1"
"GAS6"	8.29009025169271e-91	0.850230463964153	0.861	0.732	1.93789149723569e-86	"2"	"GAS6"
"JADE1"	3.48705200148499e-90	0.846805064998139	0.499	0.244	8.15133275867132e-86	"2"	"JADE1"
"PDGFC"	9.92353185209584e-90	-0.668204321448444	0.068	0.423	2.31972480574592e-85	"2"	"PDGFC"
"HLA-DRA"	3.16873465783279e-89	-0.724407815991116	0.33	0.721	7.40723413614992e-85	"2"	"HLA-DRA"
"SEMA3C"	3.38007782497126e-89	-0.830932894043544	0.082	0.44	7.90126992365281e-85	"2"	"SEMA3C"
"CD9"	1.07456106794491e-88	-0.849775848848708	0.446	0.795	2.51189395242801e-84	"2"	"CD9"
"RGS1"	7.77942593491983e-88	-0.740933250949236	0.072	0.427	1.81851860654686e-83	"2"	"RGS1"
"PRSS3"	3.34046038378095e-86	0.903950989596939	0.343	0.12	7.80866019312635e-82	"2"	"PRSS3"
"RUNX2"	6.60749807047045e-86	-0.70242275767435	0.043	0.378	1.54456874895317e-81	"2"	"RUNX2"
"GATM"	7.27452581989704e-86	0.733271306718152	0.336	0.115	1.70049315565913e-81	"2"	"GATM"
"IGFBP3"	2.60794157540341e-85	-1.95950945368683	0.359	0.688	6.096324226663e-81	"2"	"IGFBP3"
"TAGLN"	3.09546992372547e-85	-0.770090567281071	0.66	0.954	7.23597049370066e-81	"2"	"TAGLN"
"RPLP1"	5.07987341657167e-85	-0.308254880107191	1	1	1.18747120985779e-80	"2"	"RPLP1"
"MUC1"	7.39596831210718e-85	-0.592133858497248	0.044	0.376	1.72888155263817e-80	"2"	"MUC1"
"CKAP4"	7.83682147985039e-85	-0.661551890904937	0.213	0.6	1.83193538912983e-80	"2"	"CKAP4"
"ARF4"	8.58162393464754e-85	-0.660053524443141	0.587	0.865	2.00604041096321e-80	"2"	"ARF4"
"CIRBP"	1.62199299621189e-84	0.653927662396625	0.932	0.927	3.79157082794492e-80	"2"	"CIRBP"
"ITGB1"	2.94526030805887e-84	-0.607487713412552	0.823	0.964	6.88484049611842e-80	"2"	"ITGB1"
"AGTR1"	3.75454600693807e-84	0.668197977369553	0.262	0.069	8.77662674581844e-80	"2"	"AGTR1"
"ARPC2"	1.1464649532041e-83	-0.608441712767545	0.666	0.897	2.67997647460989e-79	"2"	"ARPC2"
"IGFBP5"	2.59379930942411e-83	-1.58688065140195	0.503	0.827	6.06326526570979e-79	"2"	"IGFBP5"
"CERCAM"	3.75084169326715e-83	-0.633714704927117	0.236	0.623	8.7679675421813e-79	"2"	"CERCAM"
"NTRK2"	1.05325709023977e-82	0.854050856339057	0.452	0.199	2.46209377414449e-78	"2"	"NTRK2"
"EDNRA"	1.11797402050156e-82	-0.666710674964105	0.081	0.424	2.61337607032444e-78	"2"	"EDNRA"
"C9orf3"	1.16975334072454e-82	-0.599514258106454	0.175	0.551	2.73441540927767e-78	"2"	"C9orf3"
"LMCD1"	1.56802276161264e-82	-0.721488615278466	0.202	0.58	3.6654100075457e-78	"2"	"LMCD1"
"ABCA9"	2.01569324881414e-82	0.726617948728386	0.324	0.107	4.71188453842793e-78	"2"	"ABCA9"
"SUGCT"	3.75115463127044e-82	-0.88789469323743	0.021	0.331	8.76869906605779e-78	"2"	"SUGCT"
"TPM1"	4.30789606982308e-82	-0.90848382165021	0.743	0.926	1.00701378528184e-77	"2"	"TPM1"
"SGCE"	7.28647979619328e-82	0.779564507244754	0.69	0.512	1.70328751715814e-77	"2"	"SGCE"
"PLEC"	8.49990866564155e-82	-0.636636184135835	0.182	0.563	1.98693864968037e-77	"2"	"PLEC"
"ATP1A1"	8.60933796192776e-82	0.833844396835148	0.757	0.644	2.01251884198023e-77	"2"	"ATP1A1"
"IGFL2"	2.59756395198513e-81	-1.24969153794578	0.001	0.297	6.07206549416044e-77	"2"	"IGFL2"
